Order1,Order2,Count,Norm,Norm_with_weight,H1,S1,Lt1,H2,S2,Lt2
11,3,8,44.96851640353049,0.024798897243249143,309.99999999999994,6.122448979591837,36.444,346.8965517241379,49.71428571428571,55.813
26,5,8,80.2506564218001,0.6791167390803201,300.0,11.864406779660994,74.632,359.0,85.71428571428572,59.185
20,2,8,40.79514653862284,6.081886461763618,266.4,13.812154696132591,59.048,342.27272727272725,41.9047619047619,49.293
3,17,8,43.0915676539007,27.799494761599085,346.8965517241379,49.71428571428571,55.813,42.16216216216217,14.624505928853749,51.131
20,12,8,23.380757394172427,0.006675378844690106,266.4,13.812154696132591,59.048,31.199999999999996,12.562814070351758,38.847
27,5,8,71.9349918513728,0.24001042094948424,45.51724137931034,22.834645669291344,76.071,359.0,85.71428571428572,59.185
2,17,8,36.810346559101916,34.4042224373474,342.27272727272725,41.9047619047619,49.293,42.16216216216217,14.624505928853749,51.131
27,3,8,42.552583975037216,0.011593476217401302,45.51724137931034,22.834645669291344,76.071,346.8965517241379,49.71428571428571,55.813
1,20,8,33.380967301568596,0.04427370396695093,335.60439560439556,35.68627450980392,40.847,266.4,13.812154696132591,59.048
7,27,8,56.89437930025004,49.87225440368728,348.38709677419354,65.95744680851064,73.505,45.51724137931034,22.834645669291344,76.071
2,5,8,47.1513222204234,6.661064133812597,342.27272727272725,41.9047619047619,49.293,359.0,85.71428571428572,59.185
25,20,8,33.70987597979042,8.794315945397807,47.368421052631575,21.839080459770102,67.245,266.4,13.812154696132591,59.048
20,25,8,33.70987597979042,8.794315945397807,266.4,13.812154696132591,59.048,47.368421052631575,21.839080459770102,67.245
25,16,9,22.386476437819557,0.038615054069781045,47.368421052631575,21.839080459770102,67.245,319.99999999999994,6.024096385542164,49.408
11,26,9,5.931035784557056,1.2776726482641791e-12,309.99999999999994,6.122448979591837,36.444,300.0,11.864406779660994,74.632
26,11,9,5.931035784557056,1.2776726482641791e-12,300.0,11.864406779660994,74.632,309.99999999999994,6.122448979591837,36.444
20,21,9,23.75066410530111,20.78341537285594,266.4,13.812154696132591,59.048,14.545454545454547,15.492957746478872,56.465
16,27,9,23.15616428171062,1.548355762562169e-05,319.99999999999994,6.024096385542164,49.408,45.51724137931034,22.834645669291344,76.071
30,26,9,63.06226178368331,5.337340386557196,42.127659574468076,59.493670886075954,85.744,300.0,11.864406779660994,74.632
17,24,9,13.819533912869481,0.05496164637443501,42.16216216216217,14.624505928853749,51.131,332.7272727272727,7.006369426751603,67.755
24,6,9,79.27688565441538,78.12560020555217,332.7272727272727,7.006369426751603,67.755,357.4736842105263,85.58558558558559,66.9
24,3,9,42.95532527702554,2.4783807576919434,332.7272727272727,7.006369426751603,67.755,346.8965517241379,49.71428571428571,55.813
11,2,9,36.8733322448769,1.357504064352709,309.99999999999994,6.122448979591837,36.444,342.27272727272725,41.9047619047619,49.293
9,5,9,82.99894941203796,4.213928608686639e-05,336.0000000000001,2.958579881656802,32.265,359.0,85.71428571428572,59.185
16,30,9,58.97126697307374,2.009877057180753e-10,319.99999999999994,6.024096385542164,49.408,42.127659574468076,59.493670886075954,85.744
5,27,9,71.9349918513728,0.24001042094948424,359.0,85.71428571428572,59.185,45.51724137931034,22.834645669291344,76.071
25,7,9,57.81653927732661,26.40347031202318,47.368421052631575,21.839080459770102,67.245,348.38709677419354,65.95744680851064,73.505
26,30,9,63.06226178368331,5.337340386557196,300.0,11.864406779660994,74.632,42.127659574468076,59.493670886075954,85.744
24,1,9,28.690892197651767,1.4747547910427054e-05,332.7272727272727,7.006369426751603,67.755,335.60439560439556,35.68627450980392,40.847
3,5,9,38.541519980561844,30.700960920634486,346.8965517241379,49.71428571428571,55.813,359.0,85.71428571428572,59.185
11,4,9,70.2978078141562,0.22402790293790703,309.99999999999994,6.122448979591837,36.444,359.5238095238095,74.11764705882352,53.398
12,24,10,10.717356144367999,5.909327382339374e-07,31.199999999999996,12.562814070351758,38.847,332.7272727272727,7.006369426751603,67.755
25,26,10,27.79216753349818,9.33077224004063,47.368421052631575,21.839080459770102,67.245,300.0,11.864406779660994,74.632
29,24,10,28.64684008917459,0.007351516531646894,0.0,34.6938775510204,88.087,332.7272727272727,7.006369426751603,67.755
24,29,10,28.64684008917459,0.007351516531646894,332.7272727272727,7.006369426751603,67.755,0.0,34.6938775510204,88.087
28,24,10,20.41580655169164,0.05049103959910616,60.0,19.51219512195122,85.079,332.7272727272727,7.006369426751603,67.755
26,25,10,27.79216753349818,9.33077224004063,300.0,11.864406779660994,74.632,47.368421052631575,21.839080459770102,67.245
17,16,10,15.037875576957846,14.17108840114358,42.16216216216217,14.624505928853749,51.131,319.99999999999994,6.024096385542164,49.408
16,26,10,6.536806813472114,1.946327314947981e-05,319.99999999999994,6.024096385542164,49.408,300.0,11.864406779660994,74.632
21,24,10,11.283836058993087,0.881453839728444,14.545454545454547,15.492957746478872,56.465,332.7272727272727,7.006369426751603,67.755
15,16,10,15.883271331441247,9.216013030237455,34.05405405405406,16.444444444444436,44.191,319.99999999999994,6.024096385542164,49.408
16,29,10,30.327370965855895,3.0698220309934174e-12,319.99999999999994,6.024096385542164,49.408,0.0,34.6938775510204,88.087
