R1,G1,B1,R2,G2,B2,Count
17,123,133,10,90,74,42
26,199,177,19,148,123,42
8,79,63,20,140,132,42
9,82,84,20,140,132,42
10,90,74,17,123,133,42
19,148,123,12,100,87,42
26,199,177,14,115,94,42
20,140,132,14,115,94,42
8,79,63,6,152,156,42
1,82,119,19,148,123,42
3,124,143,3,124,143,42
12,100,87,8,79,63,43
18,140,123,24,179,149,43
9,82,84,30,222,222,43
9,82,84,24,179,149,43
23,152,177,31,239,222,43
15,120,101,26,199,177,43
20,140,132,9,82,84,43
28,222,206,8,79,63,43
28,222,206,6,152,156,43
10,90,74,3,124,143,43
3,124,143,32,255,255,43
5,125,127,31,239,222,43
6,152,156,5,125,127,43
12,100,87,28,222,206,44
11,92,102,10,90,74,44
19,148,123,29,225,192,44
8,79,63,24,179,149,44
19,148,123,16,136,110,44
16,136,110,4,107,108,44
30,222,222,3,124,143,44
4,107,108,12,100,87,44
4,107,108,21,156,132,44
31,239,222,17,123,133,45
27,189,203,13,109,104,45
10,90,74,11,92,102,45
13,109,104,26,199,177,45
13,109,104,1,82,119,45
32,255,255,7,177,189,45
19,148,123,1,82,119,45
1,82,119,22,160,127,45
6,152,156,19,148,123,45
4,107,108,7,177,189,45
2,106,132,9,82,84,45
18,140,123,12,100,87,46
29,225,192,18,140,123,46
8,79,63,30,222,222,46
24,179,149,4,107,108,46
7,177,189,31,239,222,46
4,107,108,20,140,132,46
16,136,110,18,140,123,47
29,225,192,21,156,132,47
31,239,222,25,171,176,47
17,123,133,31,239,222,47
9,82,84,16,136,110,47
30,222,222,19,148,123,47
30,222,222,9,82,84,47
20,140,132,6,152,156,47
21,156,132,6,152,156,47
6,152,156,13,109,104,47
6,152,156,21,156,132,47
4,107,108,16,136,110,47
1,82,119,13,109,104,47
6,152,156,29,225,192,47
22,160,127,29,225,192,48
21,156,132,26,199,177,48
24,179,149,18,140,123,48
12,100,87,19,148,123,48
31,239,222,7,177,189,48
30,222,222,8,79,63,48
18,140,123,1,82,119,48
29,225,192,6,152,156,48
29,225,192,13,109,104,48
4,107,108,29,225,192,48
1,82,119,18,140,123,48
1,82,119,9,82,84,48
15,120,101,20,140,132,49
28,222,206,4,107,108,49
7,177,189,4,107,108,49
4,107,108,28,222,206,49
12,100,87,18,140,123,50
9,82,84,12,100,87,50
31,239,222,11,92,102,50
4,107,108,9,82,84,50
13,109,104,20,140,132,51
24,179,149,19,148,123,51
14,115,94,8,79,63,51
6,152,156,15,120,101,51
30,222,222,21,156,132,52
8,79,63,14,115,94,52
28,222,206,12,100,87,52
28,222,206,14,115,94,52
28,222,206,26,199,177,52
9,82,84,28,222,206,52
10,90,74,27,189,203,52
