Order1,Order2,Count,Norm,Count_Norm
13.0,28.0,143,10.42332060703825,1490.0
13.0,29.0,119,14.966468905541038,1781.0
13.0,30.0,87,13.670049807774781,1189.0
13.0,31.0,487,9.519306970962305,4635.0
13.0,32.0,685,8.668260388878958,5937.0
14.0,15.0,145,11.288652695300488,1636.0
14.0,16.0,52,13.168429854521925,684.0
14.0,17.0,121,10.308054045001189,1247.0
14.0,18.0,197,9.153988704554262,1803.0
14.0,19.0,256,9.925095791146187,2540.0
14.0,20.0,51,17.617245499128657,898.0
14.0,21.0,112,12.247321689349873,1371.0
14.0,22.0,175,10.02722338275602,1754.0
14.0,23.0,211,11.040272513085316,2329.0
14.0,24.0,39,10.17462467587379,396.0
14.0,25.0,108,10.487282434162356,1132.0
14.0,26.0,55,13.7188967699308,754.0
14.0,27.0,75,10.313574438913086,773.0
14.0,28.0,146,9.62038225671332,1404.0
14.0,29.0,110,15.458744555738551,1700.0
14.0,30.0,58,13.153672292511612,762.0
14.0,31.0,451,10.01585474751331,4517.0
14.0,32.0,724,7.746463508729455,5608.0
15.0,16.0,26,15.76276758171537,409.0
15.0,17.0,68,12.88336270776092,876.0
15.0,18.0,154,11.374187609264343,1751.0
15.0,19.0,150,9.815248644450447,1472.0
15.0,20.0,27,19.006567518407312,513.0
15.0,21.0,71,13.008449275012829,923.0
15.0,22.0,129,10.609939314100771,1368.0
15.0,23.0,146,12.134230540503903,1771.0
15.0,24.0,28,11.23450088519994,314.0
15.0,25.0,70,15.347313970723881,1074.0
15.0,26.0,51,15.493942805137339,790.0
15.0,27.0,70,10.6639018277294,746.0
15.0,28.0,109,10.758567386155132,1172.0
15.0,29.0,81,16.323114965109646,1322.0
15.0,30.0,48,9.262848326468525,444.0
15.0,31.0,306,10.65171479567785,3259.0
15.0,32.0,373,11.619437175624213,4334.0
16.0,17.0,18,13.590192675859097,244.0
16.0,18.0,50,12.570724938773035,628.0
16.0,19.0,75,12.025408280514837,901.0
16.0,20.0,5,22.455513217811,112.0
16.0,21.0,20,13.456480351580854,269.0
16.0,22.0,42,13.506069614430029,567.0
16.0,23.0,54,16.85617633858276,910.0
16.0,24.0,13,14.625077154967268,190.0
16.0,25.0,23,14.035837026927638,322.0
16.0,26.0,17,14.985757529449742,254.0
16.0,27.0,11,14.143088078170273,155.0
16.0,28.0,27,14.736624946641301,397.0
16.0,29.0,24,14.69329302789252,352.0
16.0,30.0,15,15.574035910076667,233.0
16.0,31.0,92,14.763463627864471,1358.0
16.0,32.0,184,10.110233553116789,1860.0
17.0,18.0,82,11.945134892792199,979.0
17.0,19.0,139,10.549880614850476,1466.0
17.0,20.0,19,15.497614264924707,294.0
17.0,21.0,60,12.545426155330228,752.0
17.0,22.0,83,9.022413022300075,748.0
17.0,23.0,121,13.433611610297593,1625.0
17.0,24.0,24,11.712975134476839,281.0
17.0,25.0,42,15.81347627978291,664.0
17.0,26.0,28,14.178522134226764,396.0
17.0,27.0,51,9.381361781736869,478.0
17.0,28.0,76,10.185452978581349,774.0
17.0,29.0,55,11.795668464361162,648.0
17.0,30.0,41,11.9717894719738,490.0
17.0,31.0,239,11.504247419520109,2749.0
17.0,32.0,362,10.45932436396029,3786.0
18.0,19.0,230,7.814556257685137,1797.0
18.0,20.0,38,17.64610925265731,670.0
18.0,21.0,129,10.741454166237556,1385.0
18.0,22.0,200,9.914368538565183,1982.0
18.0,23.0,193,12.20846756823971,2356.0
18.0,24.0,56,11.776301230358609,659.0
18.0,25.0,91,8.906976159040518,810.0
18.0,26.0,62,11.278625814549496,699.0
18.0,27.0,73,12.17837067475498,889.0
18.0,28.0,141,10.280626694263802,1449.0
18.0,29.0,138,12.270181619527104,1693.0
18.0,30.0,82,16.044716000420777,1315.0
18.0,31.0,431,10.59629775686372,4567.0
18.0,32.0,529,9.230720057064211,4883.0
19.0,20.0,34,16.699680531771435,567.0
19.0,21.0,143,9.996656650167793,1429.0
19.0,22.0,216,11.431204621667774,2469.0
19.0,23.0,308,11.421724929649562,3517.0
19.0,24.0,54,11.54846999365639,623.0
19.0,25.0,127,14.215695478323266,1805.0
19.0,26.0,68,15.163296546699298,1031.0
19.0,27.0,106,12.129742384520261,1285.0
19.0,28.0,175,10.067715378944794,1761.0
19.0,29.0,112,12.70685032707155,1423.0
19.0,30.0,84,13.824746477151201,1161.0
19.0,31.0,564,8.979893187971058,5064.0
19.0,32.0,968,8.242781158087455,7979.0
20.0,21.0,16,16.05977283542186,256.0
20.0,22.0,29,18.252752481007683,529.0
20.0,23.0,33,19.175413710744746,632.0
20.0,24.0,7,18.905632120563947,132.0
20.0,25.0,16,27.07634694328828,433.0
20.0,26.0,13,19.995531475212264,259.0
20.0,27.0,11,14.50445533103876,159.0
20.0,28.0,26,15.400902643908527,400.0
20.0,29.0,22,23.171040003834428,509.0
20.0,30.0,8,25.62793558274139,205.0
20.0,31.0,75,17.621598984012227,1321.0
20.0,32.0,112,14.659409875633749,1641.0
21.0,22.0,123,11.711290243986781,1440.0
21.0,23.0,143,12.366100628339913,1768.0
21.0,24.0,17,16.70791747427049,284.0
21.0,25.0,50,12.902826291232195,645.0
21.0,26.0,24,17.994284648362804,431.0
21.0,27.0,48,12.898072284934804,619.0
21.0,28.0,77,11.818377998188527,910.0
21.0,29.0,70,13.913265123286669,973.0
21.0,30.0,44,14.236912692419896,626.0
21.0,31.0,266,11.429493202272273,3040.0
21.0,32.0,326,8.906972852316251,2903.0
22.0,23.0,208,12.894439079658014,2682.0
22.0,24.0,31,10.53192162661303,326.0
22.0,25.0,106,12.704502015079239,1346.0
22.0,26.0,60,15.44203356667309,926.0
22.0,27.0,76,12.954096596414505,984.0
