R1,G1,B1,R2,G2,B2,Count,Norm,Norm_with_weight
165,140,132,138,123,133,12,19.079771484920297,5.708545093576872
203,189,203,112,100,87,12,15.205969716734986,8.768601410923557
87,82,84,182,171,176,12,7.738657760039433,0.004194889000551974
165,148,123,163,152,177,12,30.06975488408049,22.37907089400988
187,179,149,104,92,102,12,23.930378663100544,8.368924700559306
156,156,132,239,177,189,12,40.93331181426842,1.7094902336539588
182,171,176,187,179,149,12,18.852021682210573,18.363321696394834
182,171,176,233,107,108,12,54.64690851166117,49.68989766177002
112,100,87,211,124,143,12,35.60365130845425,31.179230633346926
131,115,94,163,152,177,12,28.386619090065633,25.706454496043644
239,177,189,156,156,132,12,27.042846194044156,21.948687970284926
239,177,189,245,125,127,12,25.511229671178736,9.241609157577509
233,107,108,182,171,176,12,50.38392209868884,1.913647505664216
233,107,108,104,92,102,12,56.85978005354578,0.5785173203308563
233,107,108,163,152,177,12,64.95802745921496,0.000391813382988632
163,152,177,247,152,156,12,32.01627377990842,2.7292247180836346
203,189,203,194,106,132,12,20.74562921208882,0.6727157745318371
147,136,110,194,106,132,12,35.06917934810585,27.559474973733998
222,222,206,163,152,177,12,15.225411289959775,13.112978794524748
187,179,149,245,125,127,12,51.23294710363752,0.2412515145450629
211,124,143,222,222,206,12,40.76352712291115,19.263081998186976
203,189,203,239,222,222,13,5.884292088952345,0.09481937208063952
104,92,102,222,222,206,13,9.716658853805258,7.131208635203544
182,171,176,222,222,206,13,35.99151584435074,0.6166690831968702
203,189,203,206,199,177,13,11.45322065813739,3.895280743634436
206,199,177,187,179,149,13,4.557465520818536,0.26951491274688977
163,152,177,87,82,84,13,20.043748411972075,1.4016109128454741
156,156,132,245,125,127,13,51.8672277347113,39.05140219648563
222,222,206,138,123,133,13,11.042556738333115,3.4413291179224514
138,123,133,245,125,127,13,54.03926184460924,0.33823088653752836
222,222,206,239,177,189,13,34.93788009023956,8.854040794476049
165,140,132,239,177,189,13,7.644397190389476,7.643430391195791
194,106,132,182,171,176,13,33.20216373098159,31.981488245979456
163,152,177,82,79,63,13,47.470277545829795,0.0026863756743169273
239,177,189,239,225,192,13,46.33270458960209,0.2497386444909944
203,189,203,233,107,108,13,21.699405774801523,3.443040110896013
245,125,127,112,100,87,13,41.10943639430994,36.50107799968694
187,179,149,211,124,143,13,34.546844515312145,26.01069651702328
138,123,133,247,152,156,13,28.843928679624675,0.3161196732147798
165,140,132,203,189,203,13,16.434749626471003,4.917171540471795
239,177,189,222,222,206,13,27.97995360017516,22.709269083094803
129,120,101,211,124,143,13,40.90324835020454,39.896410670535715
239,177,189,239,177,189,13,3.8013931078699494,0.151830159715689
211,124,143,131,115,94,13,34.57310553161281,12.12402702942711
82,79,63,239,177,189,13,40.03600884585505,0.4027188638402969
104,92,102,147,136,110,14,18.320610897138632,13.44578425542999
138,123,133,112,100,87,14,13.472931069892455,10.798158995464055
206,199,177,182,171,176,14,14.403440725073008,0.8517765087942651
203,189,203,147,136,110,14,6.4188869113647895,6.201165725869419
239,225,192,104,92,102,14,22.997094492022814,0.038247715438581305
147,136,110,203,189,203,14,18.33067505673011,14.405349365692798
165,140,132,104,92,102,14,7.877355843272911,7.877355843272911
163,152,177,173,160,127,14,41.977850809741724,0.0023755554655547164
138,123,133,222,222,206,14,6.161751038815246,5.214567067876885
163,152,177,120,109,104,14,16.813020608857023,0.006851954470845621
138,123,133,187,179,149,14,8.962648640195876,7.183299946778939
239,222,222,138,123,133,14,15.409410465151197,13.551529739148663
163,152,177,222,222,206,14,29.07471580425099,5.031504802994712e-06
112,100,87,239,177,189,14,21.0137147157632,18.402366990673194
239,177,189,82,79,63,14,27.207862522160987,23.278075104751085
82,79,63,104,92,102,14,9.565021939234752,1.8690835961587502
239,177,189,165,140,132,14,23.147569686143473,0.38182455714470204
211,124,143,156,156,132,14,44.21242379183117,39.54898730607043
165,140,132,194,106,132,14,21.72382777538055,1.7788694811275663
194,106,132,206,199,177,14,42.6466944894736,18.42203647628156
239,177,189,129,120,101,14,25.75862565528525,14.285430133684928
173,82,119,206,199,177,14,39.95427465706239,0.5765019324572532
211,124,143,165,148,123,14,45.55100733118028,36.201031566209586
163,152,177,99,90,74,15,8.307463255982775,0.5809208396715568
104,92,102,112,100,87,15,23.8703146869466,0.0006735843471406585
182,171,176,112,100,87,15,14.350124258194095,0.3276290554289058
104,92,102,239,222,222,15,25.60981514429163,0.1081203968849549
87,82,84,104,92,102,15,9.582655256780289,0.617840879251908
173,160,127,245,125,127,15,49.84263863229571,17.383960613487094
182,171,176,147,136,110,15,36.02528385272888,0.011161014741621091
82,79,63,211,124,143,15,34.27640372568237,18.427554154334704
165,148,123,239,177,189,15,25.75862565528525,25.75862565528525
245,125,127,129,120,101,15,47.00155994797209,29.40095086158939
173,82,119,203,189,203,15,29.676564134726345,2.575751147894632
245,125,127,87,82,84,15,51.88396315981209,7.763731422479586
163,152,177,131,115,94,15,26.187074580986085,1.8311988732748796
182,171,176,173,160,127,16,34.305809059064906,0.010628303227164118
104,92,102,87,82,84,16,10.425701711035638,0.5430311621621233
222,222,206,194,106,132,16,51.02603717590658,26.339526817890466
82,79,63,138,123,133,16,12.60592350851185,12.44645358476867
131,115,94,104,92,102,16,36.620109958891355,0.023548027574319865
165,140,132,245,125,127,16,43.90214684788467,42.324271790802776
239,222,222,163,152,177,16,13.974152782987996,0.0475724992236599
112,100,87,194,106,132,16,36.32645825875545,6.882353913558087
182,171,176,82,79,63,16,7.450650800743629,7.257507964287137
82,79,63,203,189,203,16,23.287624912200698,2.013037735740142
222,222,206,245,125,127,16,10.88959872023662,3.1781820232117326
206,199,177,194,106,132,16,48.544008995478926,2.3223508577428107
173,82,119,104,92,102,16,33.58040491668849,1.0265499663537183
138,123,133,131,115,94,16,17.924071056442337,14.365617111036304
211,124,143,165,140,132,16,40.41694913492692,10.7289790983492
206,199,177,173,82,119,16,43.83414971341127,43.39427392029369
194,106,132,187,179,149,16,50.05645340264368,19.565091153646048
194,106,132,239,225,192,16,34.29163400906799,33.92970993658755
239,225,192,211,124,143,16,29.713924734252743,16.99223005672233
82,79,63,163,152,177,16,20.328909052632035,10.929153345957214
239,177,189,131,115,94,16,21.877193428430708,17.756107799479558
206,199,177,203,189,203,17,15.27403944855467,14.063432381640721
163,152,177,156,156,132,17,21.667683973401527,1.5151688042076425
182,171,176,120,109,104,17,7.6852666053765395,0.3520700111018071
163,152,177,165,148,123,17,32.451975859115834,0.00028315414051483363
156,156,132,163,152,177,17,40.66226720500304,1.6981706484094
165,148,123,104,92,102,17,11.95700341967558,9.470748329832851
87,82,84,163,152,177,17,12.827702799092553,12.778657654550479
239,225,192,239,225,192,17,4.606279156990006,2.140031050823575
165,148,123,194,106,132,17,39.21961031890704,39.21961031890704
222,222,206,211,124,143,17,41.49886369489466,12.11164396110662
129,120,101,194,106,132,17,38.993251741865585,30.63082282413254
129,120,101,239,177,189,17,30.10140651464309,29.99241882272684
129,120,101,245,125,127,17,46.70273935829499,45.55314660891012
239,222,222,245,125,127,17,42.45680919725705,21.91611040845721
247,152,156,138,123,133,17,40.432990466152575,25.055531136596912
245,125,127,120,109,104,17,50.398201658015616,2.6915587495817235
194,106,132,131,115,94,17,35.18858051853602,6.448108678353025
245,125,127,156,156,132,17,52.81440999545658,0.00040868820951368465
211,124,143,120,109,104,17,32.629003585129375,26.209215306616482
211,124,143,233,107,108,17,26.529703424679315,17.175283695624767
239,225,192,245,125,127,17,51.355217773909025,1.3130529683899366
245,125,127,187,179,149,17,50.80839656611673,7.6027874688590575
182,171,176,129,120,101,18,0.5166861842636921,0.5032921549559958
87,82,84,138,123,133,18,13.909554053103232,3.104273349083023
104,92,102,165,148,123,18,20.000999193283423,14.679047634155058
112,100,87,187,179,149,18,8.580308151614837,1.625611750150946
156,140,123,163,152,177,18,19.609771363405287,6.022212665528785
112,100,87,104,92,102,18,13.763614776328884,2.6076329089346886
239,225,192,222,222,206,18,6.706220259613739,4.897494307204121
104,92,102,173,160,127,18,20.44448086375632,0.6770473392775277
182,171,176,131,115,94,18,24.873605733051445,4.300037113356715
206,199,177,239,225,192,18,6.055148000368201,0.3580833859376374
173,160,127,239,177,189,18,22.787256282961444,22.787256282961444
131,115,94,211,124,143,18,29.188036697337857,28.185696024069244
120,109,104,245,125,127,18,13.408901515617737,0.18814156230882206
245,125,127,222,222,206,18,49.78076474462718,47.9410170221052
239,177,189,120,109,104,18,12.801544825785102,7.803892694903202
245,125,127,165,140,132,18,42.69669263983326,9.629380530297043
239,177,189,165,148,123,18,27.196863193949444,2.2830482565855403
211,124,143,82,79,63,18,77.14588058606773,47.770710760853824
211,124,143,87,82,84,18,29.713807022158992,2.548758622715258
233,107,108,138,123,133,18,46.23109862172653,1.2408380347116312
211,124,143,239,225,192,18,36.552854868716345,6.0918307866142865
87,82,84,239,177,189,18,24.658041921315668,0.14955394506400602
156,156,132,182,171,176,19,34.10390160678827,1.4242748544469825
173,160,127,163,152,177,19,31.920079149100587,0.02420351128438372
165,140,132,239,225,192,19,8.82405372169794,7.53304015341827
104,92,102,156,140,123,19,8.65123267913708,6.3492756218828035
239,225,192,206,199,177,19,3.4864920165058524,3.408144648794058
239,225,192,147,136,110,19,2.414326171616778,0.0040153968328455365
138,123,133,87,82,84,19,5.917755939706384,4.742907775732531
165,148,123,138,123,133,19,4.4915771967336,3.5576302641414
138,123,133,233,107,108,19,51.701383873175104,4.410502818031198
156,156,132,211,124,143,19,34.9951756836933,15.614785959935308
187,179,149,173,82,119,19,49.93647592058037,49.25497735815074
173,160,127,211,124,143,19,36.6065725042683,36.6065725042683
239,177,189,211,124,143,19,15.41040354499583,4.582775660602507
173,82,119,112,100,87,19,68.4190307172192,4.836986462371448
239,177,189,156,140,123,19,37.16570212802047,22.297902821962378
182,171,176,87,82,84,20,10.361260468417994,10.092666047654772
187,179,149,147,136,110,20,14.834175917444066,0.06985285074215822
156,156,132,104,92,102,20,20.58229427226658,20.247884274342095
182,171,176,165,148,123,20,20.37662470889728,0.6805586890018083
138,123,133,156,140,123,20,6.805673950227656,5.454548012204204
187,179,149,165,140,132,20,20.533295244412653,10.506033871763243
112,100,87,239,225,192,20,4.250871503674646,4.115244639951142
203,189,203,131,115,94,20,20.132304448856416,0.5348961559769249
120,109,104,163,152,177,20,19.214135416066195,3.0707362773195186
163,152,177,156,140,123,20,24.584707486449698,2.0787743464626212e-07
147,136,110,173,82,119,20,44.61631466625756,35.062189373170476
245,125,127,239,225,192,20,42.918073598956674,6.422107647524554
211,124,143,129,120,101,20,44.88603454140456,0.6714701468748716
120,109,104,239,177,189,20,26.154240970712987,16.58412292295603
194,106,132,239,177,189,20,16.107908959036088,1.2916303513202647
194,106,132,165,140,132,20,34.51745711358669,8.000950474099584
194,106,132,156,156,132,20,33.89039469337646,33.532705419597534
194,106,132,165,148,123,20,30.0974601461783,19.367198115357134
82,79,63,194,106,132,20,29.894907051149747,28.223459129141766
104,92,102,156,156,132,21,13.26596624536983,9.736101109102096
129,120,101,104,92,102,21,27.765552646175614,20.391398905016803
206,199,177,206,199,177,21,0.0,0.0
129,120,101,182,171,176,21,19.944547872567203,17.466064157552825
129,120,101,163,152,177,21,17.85421414849133,11.538423512578557
112,100,87,203,189,203,21,23.927579285426166,4.533281713400543
82,79,63,147,136,110,21,4.271460340043806,2.296406804056663
138,123,133,82,79,63,21,23.48010239963531,0.010038108298654877
131,115,94,239,225,192,21,5.084596139669943,0.10532189651878006
131,115,94,239,177,189,21,18.94219025893104,16.807281472899337
173,82,119,187,179,149,21,45.126943626715956,1.3795266190679314
245,125,127,173,160,127,21,59.0509704286853,17.905404779843643
194,106,132,120,109,104,21,44.24579811264037,17.293935434784707
131,115,94,194,106,132,21,29.519422733803278,23.60635060751837
165,140,132,211,124,143,21,26.735751970749813,19.63509930483018
194,106,132,82,79,63,21,37.243993411018465,31.18674733102398
156,140,123,239,177,189,21,26.19589758037126,18.194426841041928
239,177,189,194,106,132,21,8.947366944010486,2.1255434964015296
239,177,189,87,82,84,21,27.916265603763524,15.482031813841322
165,148,123,211,124,143,21,35.515412949397025,12.172023312936053
222,222,206,104,92,102,22,19.741550933166092,19.11168370810681
173,160,127,104,92,102,22,34.07728906111082,0.025839223219941223
147,136,110,187,179,149,22,7.404478043307505,0.06130998701047174
120,109,104,182,171,176,22,18.19038606938479,9.947343814563782
187,179,149,239,222,222,22,16.331593456126534,0.07690406035504103
165,140,132,173,82,119,22,34.06119363378834,25.015003137827474
187,179,149,239,225,192,22,2.275665446552057,0.010715911666529356
147,136,110,239,225,192,22,6.412615247321239,0.05309724132030767
87,82,84,194,106,132,22,16.582919900702574,1.069182344294884
211,124,143,156,140,123,22,36.378551528134295,0.5442029260829209
173,82,119,147,136,110,22,42.78060516224924,12.888577978193428
173,82,119,239,225,192,22,50.12068494773622,0.32158858302675614
233,107,108,211,124,143,22,23.227736048999926,0.4007254537144749
245,125,127,165,148,123,22,41.13706858324574,7.9803487997467855
239,177,189,173,82,119,22,49.642693077544784,47.66898293986548
187,179,149,206,199,177,23,4.557465520818536,0.02146071076411515
138,123,133,165,148,123,23,25.709157507524047,20.60513550952866
203,189,203,87,82,84,23,14.15674048218237,0.22812144994455819
99,90,74,239,177,189,23,22.426800927246926,20.667070891858888
87,82,84,211,124,143,23,43.98487091199052,38.68170606425636
203,189,203,173,82,119,23,38.276550768082494,0.12292667270125002
82,79,63,239,225,192,23,15.381966228320723,11.161018821199555
233,107,108,203,189,203,23,47.12307787267793,1.264778668046136
173,82,119,233,107,108,23,34.47237772810216,10.385545663913266
211,124,143,239,177,189,23,13.223235295357586,9.959942588362368
206,199,177,147,136,110,24,3.7423804235230795,0.22131321207018986
165,140,132,206,199,177,24,14.331517026889347,3.2642633300921426
206,199,177,165,140,132,24,10.242774953352633,0.6057271492737597
203,189,203,247,152,156,24,40.707591045806836,0.1738423695471086
82,79,63,182,171,176,24,26.075150154068595,3.64590309890313
