Order1,Order2,Count,Norm,Norm_with_weight
1,8,32,50.58027982598872,1.5462346175500123
2,12,32,36.26981588104627,14.176438912492976
6,26,32,33.968855482883804,31.73697552605296
6,21,32,29.88246151046877,26.281500182869788
26,18,33,17.06929081136861,9.843095197493868
27,12,33,12.847847790767132,0.7597833840972237
18,27,33,4.457713198211946,1.368975516546005
7,32,33,38.74693534851441,0.2088504696160084
6,27,33,41.051467482968384,1.3171842699456997
26,19,34,11.200323960903743,6.458724982090082
19,26,34,34.38976808989379,1.4362134428322877
16,19,34,14.772680884718287,11.83987034112496
32,2,34,36.13340281155688,2.342579797463062
22,27,34,7.903950606730621,2.7088822305543143
17,9,34,8.524008737766037,3.794046003697476
17,21,34,28.11099115557969,0.2327624570590547
18,2,34,38.189736419838255,38.05146343829955
15,25,34,5.456857781805664,0.1130328928445324
6,17,34,40.56533783343756,25.137544204233635
2,29,34,83.3738887855518,0.9264389308367128
18,17,35,16.23577821632967,16.176993587996733
24,19,35,9.05603089578955,8.821271873923186
28,26,35,13.10085003250485,3.823546407153103
27,28,35,5.348167293570181,0.3162746563628317
30,23,35,8.460873116692055,0.0140717370814575
32,3,35,36.27364213566511,5.071885818087575
19,1,35,55.50661105306157,14.212233853743276
23,1,35,45.27464260578051,35.57954314965035
27,4,35,51.71042378951138,19.07060498805767
6,28,35,43.401120224649176,27.51523750425397
26,28,36,12.991458111316906,7.491591792365339
21,28,36,13.36016277229609,3.997274899411501
28,17,36,8.049462522123084,2.349274545515326
17,12,36,6.906137186901501,0.0571836635539986
18,30,36,8.162281873332507,0.6435024573830325
25,15,36,11.919858793670697,7.088226170343387
14,12,36,3.48382260071347,0.2258611646663499
15,1,36,54.46795255706547,0.8808210544629927
3,10,36,33.17583772331484,2.8457209269765573
29,12,37,9.518142796284303,3.237153937411229
19,30,37,14.358657717999003,0.5996579326069377
11,31,37,10.073581649210222,7.393159883980388
21,21,37,15.483743555922748,4.709013957538896
25,9,37,23.221154417052247,20.603978371985885
28,1,37,52.04114511858894,50.380738001857104
1,28,37,37.33196887831752,9.583115223931795
2,3,37,2.371985110354028,0.1014164453726544
27,8,38,12.62092520933326,0.7463638597023436
21,12,38,5.795598147631472,1.7340057450977928
21,29,39,6.114475622410565,1.829411837646704
27,9,39,38.36973743462101,0.1078982633148279
25,28,39,8.545455471977517,0.0402398103494147
28,29,39,6.215872672449864,0.5273605755452347
17,22,39,2.4838360937685176,2.1039188938674043
29,28,39,10.332635745150911,9.462790583204193
13,25,39,26.49037351650931,6.782748507736037
13,30,39,14.06472113161319,9.637248920433588
9,27,39,12.881448292470102,12.832197658641872
8,12,39,4.367658587368241,0.6106986876220174
30,22,39,3.5734822567504247,0.0059432522020736
28,25,39,8.545455471977517,2.4940324853958566
17,6,39,14.535902257559888,14.534953419230211
1,19,39,51.081709554706165,3.611298420933641
1,15,39,45.69888027336813,0.6593910918133136
1,7,39,22.17464565992136,0.0011204732646195
24,31,40,19.93553371713869,19.41874590472129
17,15,40,3.3573061580250365,0.0277989070579709
27,18,40,4.457713198211946,0.2636158580199138
17,28,40,15.86122803282429,0.131332914889461
21,8,40,20.34865284655899,6.188560920392315
14,6,40,37.55397149256896,32.887186997219764
15,29,40,24.111202660118387,0.4994374227088891
29,2,40,39.74356563708613,35.91426327691186
2,10,40,37.40312589590491,0.6740793521715097
14,1,40,44.73281937652906,40.50930412438296
5,10,40,42.23924450482755,6.320530080052497
10,24,41,23.015619269704192,2.453571399098504
25,13,41,13.219739258323738,0.0622506082172069
19,16,41,19.875816879376572,0.8300700171869546
28,21,41,10.872469478009227,3.173182771070589
26,10,41,11.340368936060068,6.539482644351963
14,4,41,50.42103664158528,49.17991762081545
29,15,41,6.150047658818708,5.632310526328021
10,2,41,37.98540317899136,19.435552242383483
6,7,41,20.53626470543104,0.6589300332480797
16,10,42,21.975792987331417,0.0093949926708615
27,22,42,5.0809233591474685,0.3004706474594059
8,21,42,13.043545254275706,12.31427031210666
9,21,42,3.3112390771094304,3.2985789616005423
10,16,42,31.58151842775079,3.3667358434465275
22,12,42,6.422192574876433,0.0513247041575321
27,15,42,9.296719904670187,0.5497802764483546
21,15,42,8.155233721099835,2.4399935545533915
8,6,42,44.287462401216686,23.541527846247423
1,22,42,52.240237411670094,3.693202293316393
3,3,42,0.0,0.0
12,8,43,4.367658587368241,0.8274897585044464
18,25,43,22.70505381802445,13.501716711395307
9,29,43,15.814255214952144,15.75379135443166
9,25,43,17.42000293881611,17.353399699293128
20,31,43,23.561084719917535,0.0013333379985191
14,27,43,17.71820862928566,1.1486966173284108
21,9,43,9.958172460069449,2.979421246362964
28,8,43,13.9661791433127,10.07000947662299
28,6,43,39.658660408924725,34.156264356840374
10,3,43,29.98545271999804,26.830331488812323
3,32,43,34.377973824377975,11.385545241338914
5,31,43,48.24386839834452,9.35902606887925
6,5,43,10.483658500071588,6.496517545341667
12,28,44,5.38925928000849,1.0210406264421883
11,10,44,8.386940152514894,6.1553071830989525
22,30,44,6.56319048047074,5.19848686996358
8,25,44,21.938361860875464,11.811590813554483
22,17,44,7.85582865944708,7.748617731174502
17,4,44,45.16177390218693,38.25401749807815
29,3,44,29.079191975821832,13.731358465059827
4,12,44,51.71042378951138,3.71105499610452
